	WT-t00	WT-t05	WT-t10	WT-t15	WT-t20	WT-t30	WT-t45	WT-t60
YJR012C	51.3919	42.9334	34.2296	44.8568	53.4477	74.9565	47.0427	41.9583
YJR014W	239.8287	203.3687	158.923	145.7844	167.0241	118.2006	173.8536	167.8332
YJR015W	100.3365	76.8282	58.6793	75.6958	84.6255	80.7223	89.9948	122.0605
YJR016C	589.7828	637.2219	628.3572	566.3165	570.1089	475.6853	370.206	324.2233
YJR018W	2.4472	4.5193	0	8.4106	6.681	0	0	0
YJR017C	66.0753	88.1264	139.3633	114.9454	109.1224	135.4982	112.4935	125.8749
YJR020W	4.8945	6.779	4.8899	0	6.681	5.7659	4.0907	0
YJR019C	19.5779	15.8176	26.8947	30.839	28.9508	54.7759	30.6801	49.5871
YJR021C	24.4723	27.1158	22.0047	44.8568	24.4969	46.1271	34.7707	34.3295
YJR022W	22.0251	18.0772	22.0047	19.6248	15.5889	20.1806	20.4534	26.7007
YJR023C	0	0	0	0	2.227	0	0	0
YJR024C	44.0502	81.3475	51.3444	56.0709	26.7239	31.7124	49.0881	64.8447
YJR025C	83.2059	94.9054	110.0236	86.91	122.4843	167.2106	173.8536	133.5037
YJR030C	29.3668	27.1158	44.0095	50.4638	42.3128	25.9465	47.0427	76.2878
YJR031C	34.2612	29.3755	17.1148	14.0177	17.8159	5.7659	22.4987	26.7007
YJR032W	34.2612	29.3755	36.6745	25.2319	28.9508	17.2976	24.544	15.2576
YJR033C	4.8945	20.3369	22.0047	33.6426	17.8159	28.8294	65.4508	49.5871
YJR034W	41.6029	24.8562	19.5598	22.4284	35.6318	20.1806	59.3148	53.4015
YJR035W	22.0251	9.0386	22.0047	25.2319	26.7239	54.7759	26.5894	26.7007
YJR037W	0	0	0	0	0	0	0	0
YJR036C	0	6.779	9.7799	30.839	40.0858	20.1806	26.5894	15.2576
YJR039W	9.7889	11.2983	17.1148	16.8213	20.0429	37.4782	26.5894	26.7007
YJR038C	0	0	0	0	0	0	0	0
YJR040W	41.6029	42.9334	36.6745	56.0709	44.5398	74.9565	59.3148	53.4015
YJR041C	75.8642	72.3089	41.5645	36.4461	11.1349	28.8294	28.6347	22.8864
YJR042W	53.8391	56.4913	51.3444	28.0355	35.6318	51.8929	55.2241	64.8447
YJR043C	36.7085	20.3369	31.7846	14.0177	15.5889	31.7124	22.4987	38.1439
YJR044C	134.5977	162.695	122.2485	168.2128	216.0178	270.9965	286.3472	244.1211
YJR045C	533.4965	510.6814	520.7786	538.281	536.7041	717.8523	1067.6659	957.4123
YJR046W	46.4974	40.6737	29.3396	44.8568	55.6747	57.6588	53.1788	30.5151
YJR047C	12.2362	11.2983	14.6698	11.2142	13.3619	5.7659	12.272	3.8144
YJR048W	51.3919	36.1544	39.1195	19.6248	4.454	2.8829	24.544	41.9583
YJR049C	51.3919	22.5965	46.4544	50.4638	35.6318	63.4247	65.4508	41.9583
YJR050W	34.2612	11.2983	17.1148	33.6426	33.4048	23.0635	40.9067	19.072
YJR051W	56.2863	45.193	41.5645	50.4638	40.0858	69.1906	63.4054	41.9583
YJR052W	17.1306	11.2983	7.3349	16.8213	17.8159	14.4147	28.6347	41.9583
YJR053W	0	0	0	0	2.227	0	0	0
YJR054W	46.4974	15.8176	19.5598	19.6248	24.4969	25.9465	14.3174	34.3295
YJR055W	22.0251	15.8176	2.445	14.0177	13.3619	0	4.0907	19.072
YJR056C	31.814	20.3369	29.3396	19.6248	22.2699	28.8294	28.6347	49.5871
YJR057W	31.814	27.1158	51.3444	47.6603	31.1778	49.01	26.5894	68.6591
YJR058C	95.442	122.0212	80.684	98.1241	133.6193	144.1471	145.2189	148.7613
YJR059W	34.2612	58.751	129.5834	232.6944	233.8337	227.7523	165.6723	110.6174
YJR060W	19.5779	20.3369	12.2248	25.2319	37.8588	40.3612	49.0881	53.4015
YJR061W	17.1306	20.3369	12.2248	8.4106	24.4969	2.8829	20.4534	15.2576
YJR062C	31.814	6.779	14.6698	16.8213	24.4969	28.8294	36.8161	19.072
YJR063W	151.7284	103.944	53.7893	53.2674	35.6318	11.5318	28.6347	57.2159
YJR064W	210.4619	246.3021	193.1526	173.8199	160.3431	129.7323	147.2643	152.5757
YJR065C	166.4117	198.8494	210.2674	235.498	300.6434	403.6117	411.1127	373.8104
YJR066W	41.6029	31.6351	24.4497	28.0355	66.8096	54.7759	77.7228	34.3295
YJR067C	24.4723	18.0772	17.1148	16.8213	11.1349	20.1806	36.8161	26.7007
YJR068W	58.7336	51.972	56.2343	78.4993	51.2207	49.01	38.8614	57.2159
YJR069C	117.4671	97.165	107.5787	84.1064	60.1287	31.7124	49.0881	76.2878
YJR071W	7.3417	9.0386	7.3349	8.4106	8.908	2.8829	6.136	3.8144
YJR070C	242.2759	302.7934	161.368	120.5525	71.2636	40.3612	18.408	61.0303
YJR072C	134.5977	99.4247	105.1337	64.4816	115.8034	83.6053	83.8588	76.2878
YJR073C	824.717	917.4188	870.4093	1003.6698	955.3778	1034.9758	1243.5649	1193.9046
YJR074W	119.9143	94.9054	85.5739	100.9277	91.3065	109.5518	118.6295	95.3598
YJR075W	70.9697	79.0878	107.5787	103.7312	69.0366	77.8394	83.8588	80.1022
YJR076C	63.628	83.6071	68.4592	78.4993	60.1287	60.5418	65.4508	64.8447
