	WT-t00	WT-t05	WT-t10	WT-t15	WT-t20	WT-t30	WT-t45	WT-t60
YFL030W	7.3417	6.779	0	19.6248	31.1778	43.2441	30.6801	22.8864
YFL029C	24.4723	20.3369	12.2248	39.2497	26.7239	60.5418	30.6801	34.3295
YFL028C	110.1254	106.2036	85.5739	106.5348	93.5335	103.7859	108.4029	133.5037
YFL027C	22.0251	15.8176	14.6698	19.6248	28.9508	37.4782	34.7707	15.2576
YFL026W	4.8945	6.779	0	2.8035	4.454	0	4.0907	0
YFL025C	22.0251	18.0772	22.0047	8.4106	17.8159	14.4147	8.1813	11.4432
YFL024C	19.5779	24.8562	29.3396	36.4461	26.7239	51.8929	51.1334	34.3295
YFL023W	73.4169	67.7896	48.8994	36.4461	11.1349	17.2976	30.6801	49.5871
YFL022C	296.115	298.2741	322.736	330.8186	305.0974	268.1135	280.2112	308.9657
YFL021W	53.8391	67.7896	92.9089	89.7135	135.8463	118.2006	77.7228	95.3598
YFL021C-A	0	9.0386	7.3349	2.8035	11.1349	2.8829	2.0453	7.6288
YFL020C	2.4472	0	4.8899	2.8035	0	2.8829	4.0907	11.4432
YFL019C	0	0	0	0	0	2.8829	0	0
YFL018C	313.2456	309.5723	374.0804	386.8895	385.2689	472.8023	503.1529	537.8292
YFL017W-A	100.3365	67.7896	39.1195	70.0887	64.5827	46.1271	69.5415	87.731
YFL017C	68.5225	51.972	73.3491	98.1241	71.2636	92.2541	83.8588	99.1742
YFL016C	41.6029	74.5685	117.3586	142.9809	169.2511	178.7423	132.9469	137.3181
YFL015W-A	0	2.2597	0	5.6071	2.227	0	0	3.8144
YFL015C	0	2.2597	0	0	2.227	0	2.0453	0
YFL014W	1046.2917	1554.042	3815.9531	5920.1648	7876.2978	10777.4545	11416.203	6517.7798
YFL013W-A	0	0	2.445	0	0	0	0	0
YFL012W-A	2.4472	2.2597	2.445	5.6071	2.227	2.8829	0	0
YFL013C	44.0502	33.8948	46.4544	47.6603	71.2636	54.7759	42.9521	30.5151
YFL012W	0	0	0	0	2.227	0	2.0453	0
YFL011W	9.7889	2.2597	2.445	8.4106	0	0	2.0453	0
YFL010W-A	29.3668	27.1158	26.8947	16.8213	11.1349	17.2976	16.3627	11.4432
YFL010C	220.2508	219.1863	276.2816	241.105	271.6925	265.2306	280.2112	362.3672
YFL009W	73.4169	56.4913	41.5645	67.2851	73.4906	86.4882	59.3148	76.2878
YFL008W	56.2863	49.7123	34.2296	42.0532	51.2207	37.4782	26.5894	57.2159
YFL007W	110.1254	162.695	112.4686	185.0341	209.3369	273.8794	235.2137	286.0794
YFL005W	156.6228	137.8388	129.5834	168.2128	160.3431	126.8494	167.7176	179.2764
YFL004W	154.1756	167.2143	146.6982	112.1419	153.6622	144.1471	110.4482	114.4318
YFL003C	2.4472	6.779	12.2248	16.8213	4.454	8.6488	6.136	11.4432
YFL002C	92.9948	51.972	44.0095	22.4284	28.9508	17.2976	12.272	30.5151
YFL001W	44.0502	40.6737	31.7846	25.2319	13.3619	17.2976	16.3627	19.072
YFR001W	105.231	128.8002	78.239	42.0532	48.9937	17.2976	20.4534	64.8447
YFR002W	39.1557	58.751	53.7893	58.8745	66.8096	57.6588	65.4508	30.5151
YFR003C	39.1557	22.5965	51.3444	95.3206	111.3494	141.2641	130.9016	91.5454
YFR004W	127.256	171.7336	163.813	196.2483	198.2019	282.5282	245.4404	141.1325
YFR005C	44.0502	27.1158	34.2296	39.2497	40.0858	25.9465	30.6801	41.9583
YFR006W	39.1557	47.4527	48.8994	36.4461	48.9937	60.5418	47.0427	49.5871
YFR007W	14.6834	11.2983	22.0047	44.8568	40.0858	34.5953	30.6801	34.3295
YFR008W	17.1306	9.0386	34.2296	30.839	42.3128	17.2976	36.8161	15.2576
YFR009W	195.7785	205.6283	217.6023	260.7299	191.521	239.2841	190.2163	205.9772
YFR009W-A	4.8945	9.0386	12.2248	5.6071	11.1349	8.6488	6.136	7.6288
YFR010W	102.7837	101.6843	136.9183	179.427	164.7971	291.177	253.6218	156.3901
YFR010W-A	2.4472	2.2597	0	0	0	2.8829	0	3.8144
YFR011C	39.1557	45.193	29.3396	33.6426	40.0858	54.7759	57.2694	64.8447
YFR012W	0	0	2.445	0	0	0	0	0
YFR012W-A	0	4.5193	0	2.8035	0	0	2.0453	3.8144
YFR013W	56.2863	51.972	48.8994	44.8568	75.7176	49.01	53.1788	106.803
YFR014C	17.1306	31.6351	56.2343	89.7135	75.7176	86.4882	96.1308	80.1022
YFR015C	24.4723	54.2317	229.8272	364.4611	387.4959	521.8123	269.9845	110.6174
YFR016C	51.3919	45.193	46.4544	75.6958	84.6255	155.6788	112.4935	68.6591
YFR017C	9.7889	4.5193	85.5739	70.0887	142.5272	196.04	110.4482	61.0303
YFR018C	31.814	45.193	17.1148	33.6426	24.4969	51.8929	49.0881	45.7727
YFR019W	14.6834	38.4141	48.8994	30.839	37.8588	60.5418	53.1788	80.1022
YFR020W	26.9195	18.0772	9.7799	25.2319	40.0858	28.8294	34.7707	30.5151
YFR021W	14.6834	31.6351	36.6745	33.6426	35.6318	63.4247	47.0427	68.6591
YFR022W	29.3668	18.0772	41.5645	61.678	33.4048	54.7759	59.3148	53.4015
YFR023W	4.8945	0	4.8899	5.6071	2.227	2.8829	6.136	11.4432
YFR024C-A	110.1254	97.165	114.9136	103.7312	131.3923	213.3376	259.7578	186.9052
YFR025C	63.628	61.0106	66.0142	61.678	71.2636	98.02	89.9948	95.3598
YFR026C	4.8945	6.779	4.8899	14.0177	8.908	8.6488	2.0453	7.6288
YFR027W	14.6834	2.2597	7.3349	8.4106	8.908	2.8829	12.272	7.6288
YFR028C	0	2.2597	0	0	0	0	2.0453	0
YFR029W	24.4723	18.0772	12.2248	25.2319	20.0429	14.4147	18.408	7.6288
YFR030W	56.2863	56.4913	34.2296	64.4816	44.5398	46.1271	47.0427	99.1742
YFR031C	58.7336	40.6737	31.7846	36.4461	31.1778	20.1806	26.5894	34.3295
YFR031C-A	2899.9694	3147.6954	3046.4324	2868.0286	2407.374	2015.1758	1611.7255	2109.3586
YFR032C	0	11.2983	14.6698	2.8035	2.227	0	4.0907	0
YFR032C-A	4789.2322	4691.0378	4469.4049	3967.0191	3674.5302	2796.4528	2620.0766	2956.1536
YFR032C-B	435.6072	408.997	317.8461	294.3724	265.0116	288.2941	188.171	267.0074
YFR033C	171.3062	135.5791	134.4733	114.9454	202.6559	299.8259	249.5311	164.0188
YFR034C	44.0502	63.2703	90.4639	75.6958	51.2207	103.7859	112.4935	72.4734
YFR034W-A	58.7336	67.7896	63.5692	39.2497	51.2207	54.7759	44.9974	72.4734
YFR035C	0	0	2.445	2.8035	0	2.8829	0	0
YFR036W	44.0502	15.8176	29.3396	2.8035	17.8159	40.3612	8.1813	15.2576
YFR036W-A	0	0	0	0	0	0	0	0
YFR037C	141.9394	119.7616	129.5834	106.5348	102.4414	123.9665	134.9922	102.9886
YFR038W	56.2863	42.9334	29.3396	42.0532	33.4048	37.4782	28.6347	49.5871
YFR039C	61.1808	58.751	24.4497	58.8745	44.5398	37.4782	36.8161	38.1439
YFR040W	61.1808	58.751	88.0189	92.5171	109.1224	103.7859	92.0402	91.5454
YFR041C	36.7085	42.9334	36.6745	70.0887	64.5827	60.5418	53.1788	72.4734
YFR042W	44.0502	45.193	39.1195	72.8922	53.4477	89.3712	83.8588	76.2878
YFR043C	24.4723	27.1158	7.3349	19.6248	17.8159	34.5953	28.6347	30.5151
YFR044C	266.7482	262.1196	278.7266	266.337	311.7783	380.5482	423.3847	419.5831
YFR045W	17.1306	9.0386	12.2248	25.2319	37.8588	43.2441	26.5894	26.7007
YFR046C	9.7889	18.0772	4.8899	25.2319	17.8159	17.2976	14.3174	15.2576
YFR047C	70.9697	54.2317	85.5739	61.678	89.0795	126.8494	153.4003	118.2461
YFR048W	31.814	18.0772	24.4497	30.839	20.0429	14.4147	38.8614	19.072
YFR049W	61.1808	72.3089	102.6887	123.3561	97.9875	198.9229	167.7176	141.1325
YFR050C	193.3313	194.3301	212.7124	243.9086	244.9687	325.7723	337.4806	331.8521
YFR051C	193.3313	180.7722	224.9372	229.8909	236.0607	250.8159	286.3472	209.7915
YFR052W	149.2811	153.6563	149.1432	185.0341	242.7417	366.1335	382.478	385.2536
YFR052C-A	100.3365	137.8388	398.5301	941.9918	1400.7754	2364.0117	3194.8163	1914.8246
YFR053C	110.1254	135.5791	447.4295	1014.884	1563.3456	2617.7105	3597.7477	2200.904
YFR054C	0	2.2597	2.445	2.8035	0	0	0	0
YFR055W	51.3919	49.7123	29.3396	28.0355	31.1778	23.0635	16.3627	53.4015
YFR056C	0	0	0	0	0	0	0	0
YFR057W	0	0	0	0	0	0	0	0
YGL263W	0	2.2597	0	0	8.908	0	4.0907	3.8144
YGL262W	0	0	0	0	0	0	0	0
YGL261C	0	0	4.8899	2.8035	2.227	5.7659	6.136	3.8144
YGL260W	2.4472	0	2.445	0	0	0	0	0
YGL259W	0	0	0	0	2.227	0	0	0
YGL258W-A	4.8945	2.2597	4.8899	2.8035	11.1349	5.7659	6.136	22.8864
YGL258W	0	0	4.8899	2.8035	2.227	5.7659	2.0453	0
YGL257C	70.9697	47.4527	51.3444	28.0355	24.4969	40.3612	47.0427	30.5151
YGL256W	24.4723	33.8948	36.6745	39.2497	33.4048	49.01	26.5894	34.3295
YGL255W	416.0294	404.4777	325.181	249.5157	144.7542	43.2441	16.3627	41.9583
YGL254W	14.6834	2.2597	2.445	2.8035	2.227	2.8829	0	7.6288
YGL253W	516.3659	533.2779	621.0223	563.513	523.3422	449.7388	349.7526	308.9657
YGL252C	208.0147	210.1476	168.7029	204.6589	216.0178	239.2841	190.2163	175.462
YGL251C	7.3417	2.2597	9.7799	2.8035	13.3619	14.4147	20.4534	7.6288
YGL250W	2.4472	20.3369	14.6698	22.4284	48.9937	31.7124	26.5894	30.5151
YGL249W	0	2.2597	4.8899	5.6071	4.454	0	2.0453	7.6288
YGL248W	44.0502	70.0492	53.7893	78.4993	77.9446	158.5618	157.4909	106.803
YGL247W	36.7085	38.4141	41.5645	50.4638	24.4969	37.4782	36.8161	38.1439
YGL246C	78.3114	61.0106	56.2343	44.8568	44.5398	23.0635	32.7254	30.5151
YGL245W	526.1548	573.9516	674.8117	686.869	661.4154	642.8959	584.9664	602.6739
YGL244W	95.442	58.751	66.0142	64.4816	69.0366	69.1906	98.1762	61.0303
YGL243W	29.3668	31.6351	41.5645	14.0177	26.7239	14.4147	16.3627	41.9583
YGL242C	127.256	65.5299	78.239	78.4993	133.6193	112.4347	214.7604	202.1628
YGL241W	29.3668	24.8562	29.3396	22.4284	42.3128	40.3612	47.0427	34.3295
YGL240W	4.8945	0	2.445	2.8035	0	0	0	0
YGL238W	141.9394	99.4247	144.2532	123.3561	124.7113	123.9665	196.3523	144.9469
YGL239C	0	0	0	0	0	0	0	0
YGL237C	17.1306	29.3755	34.2296	67.2851	55.6747	54.7759	22.4987	57.2159
YGL235W	0	4.5193	2.445	2.8035	0	0	0	0
YGL236C	22.0251	22.5965	4.8899	8.4106	0	2.8829	18.408	19.072
YGL234W	230.0398	228.2249	229.8272	224.2838	135.8463	155.6788	89.9948	87.731
YGL233W	46.4974	51.972	48.8994	75.6958	75.7176	83.6053	122.7202	53.4015
YGL232W	75.8642	58.751	73.3491	53.2674	75.7176	92.2541	81.8135	49.5871
YGL231C	156.6228	173.9932	205.3775	154.1951	169.2511	172.9765	184.0803	186.9052
YGL230C	7.3417	0	4.8899	8.4106	2.227	0	4.0907	0
YGL229C	0	13.5579	12.2248	36.4461	31.1778	34.5953	36.8161	11.4432
YGL228W	166.4117	198.8494	173.5929	179.427	244.9687	256.5818	202.4884	217.4203
YGL227W	34.2612	33.8948	58.6793	39.2497	84.6255	112.4347	92.0402	57.2159
YGL226C-A	205.5675	183.0318	156.4781	182.2306	140.3002	149.9129	149.3096	148.7613
YGL226W	48.9446	40.6737	46.4544	33.6426	37.8588	57.6588	47.0427	34.3295
YGL225W	252.0649	235.0038	217.6023	171.0164	207.1099	109.5518	169.763	209.7915
YGL224C	100.3365	97.165	97.7988	126.1596	93.5335	89.3712	104.3122	99.1742
YGL223C	26.9195	47.4527	41.5645	39.2497	48.9937	37.4782	61.3601	38.1439
YGL222C	26.9195	15.8176	31.7846	33.6426	55.6747	51.8929	38.8614	15.2576
YGL221C	134.5977	142.3581	176.0378	187.8377	175.9321	184.5082	196.3523	225.0491
YGL220W	185.9896	187.5511	149.1432	142.9809	118.0304	135.4982	190.2163	202.1628
YGL218W	0	0	0	0	0	0	0	0
YGL219C	61.1808	70.0492	68.4592	81.3029	75.7176	121.0835	83.8588	76.2878
YGL216W	46.4974	56.4913	44.0095	39.2497	37.8588	46.1271	36.8161	68.6591
YGL217C	9.7889	4.5193	0	11.2142	11.1349	8.6488	14.3174	3.8144
YGL215W	63.628	110.723	80.684	72.8922	131.3923	83.6053	71.5868	80.1022
YGL214W	0	0	0	2.8035	0	0	0	0
YGL213C	70.9697	49.7123	58.6793	78.4993	97.9875	63.4247	63.4054	45.7727
YGL212W	2.4472	0	9.7799	5.6071	11.1349	8.6488	8.1813	7.6288
YGL211W	110.1254	63.2703	46.4544	64.4816	51.2207	40.3612	32.7254	61.0303
YGL210W	58.7336	61.0106	75.7941	56.0709	33.4048	37.4782	42.9521	76.2878
YGL209W	41.6029	36.1544	9.7799	11.2142	13.3619	40.3612	14.3174	41.9583
YGL208W	19.5779	18.0772	7.3349	11.2142	31.1778	63.4247	55.2241	38.1439
YGL207W	313.2456	293.7548	332.5159	342.0327	351.8641	429.5582	476.5635	495.8709
YGL206C	137.045	167.2143	156.4781	246.7121	182.613	230.6353	355.8886	259.3786
YGL205W	9.7889	4.5193	4.8899	2.8035	0	5.7659	6.136	0
YGL204C	63.628	67.7896	102.6887	103.7312	86.8525	95.1371	102.2668	80.1022
YGL203C	80.7586	49.7123	46.4544	53.2674	48.9937	72.0735	92.0402	87.731
YGL202W	330.3763	454.1901	449.8745	479.4065	498.8453	328.6553	409.0674	461.5414
YGL201C	97.8893	42.9334	66.0142	30.839	55.6747	57.6588	36.8161	41.9583
YGL200C	362.1903	361.5443	315.4011	294.3724	362.999	371.8994	382.478	335.6665
YGL198W	92.9948	83.6071	63.5692	117.749	131.3923	129.7323	210.6697	125.8749
YGL199C	0	0	2.445	2.8035	0	2.8829	2.0453	0
YGL197W	51.3919	36.1544	19.5598	50.4638	69.0366	77.8394	130.9016	61.0303
YGL196W	44.0502	61.0106	58.6793	95.3206	122.4843	147.03	139.0829	129.6893
YGL195W	269.1955	235.0038	254.2769	243.9086	267.2386	279.6453	249.5311	278.4506
YGL194C-A	63.628	49.7123	63.5692	98.1241	42.3128	60.5418	75.6775	110.6174
YGL194C	19.5779	20.3369	22.0047	33.6426	17.8159	25.9465	20.4534	26.7007
YGL193C	29.3668	42.9334	24.4497	72.8922	75.7176	57.6588	61.3601	41.9583
YGL192W	0	0	0	0	4.454	0	2.0453	0
YGL191W	132.1505	133.3195	112.4686	145.7844	158.1161	167.2106	245.4404	167.8332
YGL190C	58.7336	33.8948	31.7846	53.2674	77.9446	89.3712	61.3601	26.7007
YGL189C	5606.6075	5167.8244	4997.5184	4617.442	4166.6945	3701.6963	3385.0326	3478.7252
YGL188C-A	269.1955	228.2249	220.0473	190.6412	189.294	121.0835	114.5389	144.9469
YGL188C	61.1808	63.2703	58.6793	58.8745	97.9875	109.5518	89.9948	91.5454
YGL187C	85.6531	90.3861	80.684	81.3029	122.4843	129.7323	137.0376	148.7613
YGL186C	85.6531	90.3861	90.4639	67.2851	66.8096	66.3076	110.4482	99.1742
YGL185C	9.7889	18.0772	17.1148	25.2319	24.4969	37.4782	26.5894	30.5151
YGL184C	19.5779	13.5579	12.2248	14.0177	20.0429	8.6488	24.544	22.8864
YGL183C	2.4472	6.779	2.445	0	6.681	5.7659	4.0907	0
YGL182C	0	2.2597	0	0	0	0	2.0453	0
YGL181W	51.3919	72.3089	90.4639	95.3206	126.9383	164.3276	163.627	122.0605
YGL180W	4.8945	6.779	4.8899	11.2142	28.9508	23.0635	18.408	7.6288
YGL179C	14.6834	15.8176	56.2343	86.91	46.7667	54.7759	47.0427	49.5871
YGL178W	12.2362	24.8562	36.6745	58.8745	44.5398	57.6588	38.8614	53.4015
YGL177W	0	0	2.445	0	2.227	0	0	3.8144
YGL176C	24.4723	29.3755	24.4497	33.6426	51.2207	28.8294	36.8161	30.5151
YGL175C	0	2.2597	4.8899	2.8035	6.681	0	0	3.8144
YGL174W	34.2612	33.8948	31.7846	28.0355	40.0858	28.8294	20.4534	34.3295
YGL173C	232.487	257.6003	205.3775	280.3547	347.4101	317.1235	370.206	369.996
YGL172W	90.5476	88.1264	92.9089	84.1064	146.9812	172.9765	112.4935	95.3598
YGL171W	139.4922	72.3089	46.4544	47.6603	24.4969	11.5318	2.0453	26.7007
YGL170C	0	6.779	2.445	5.6071	0	0	2.0453	3.8144
YGL169W	44.0502	58.751	56.2343	42.0532	15.5889	20.1806	16.3627	34.3295
YGL168W	22.0251	20.3369	22.0047	22.4284	17.8159	17.2976	26.5894	0
YGL167C	137.045	164.9546	212.7124	187.8377	191.521	210.4547	202.4884	152.5757
YGL166W	51.3919	45.193	78.239	86.91	100.2145	77.8394	57.2694	41.9583
YGL165C	2.4472	0	0	0	2.227	0	2.0453	0
YGL164C	41.6029	33.8948	48.8994	42.0532	35.6318	60.5418	24.544	64.8447
YGL163C	22.0251	20.3369	24.4497	42.0532	20.0429	63.4247	22.4987	45.7727
YGL162W	24.4723	20.3369	24.4497	50.4638	35.6318	43.2441	30.6801	38.1439
YGL161C	83.2059	88.1264	129.5834	131.7667	184.84	239.2841	229.0777	183.0908
YGL160W	29.3668	33.8948	34.2296	50.4638	62.3557	92.2541	77.7228	49.5871
YGL159W	7.3417	15.8176	4.8899	8.4106	11.1349	11.5318	14.3174	3.8144
YGL158W	0	2.2597	12.2248	11.2142	20.0429	2.8829	4.0907	7.6288
YGL157W	83.2059	97.165	112.4686	190.6412	291.7354	337.3041	323.1632	267.0074
YGL156W	19.5779	11.2983	19.5598	36.4461	17.8159	63.4247	122.7202	91.5454
YGL155W	56.2863	49.7123	34.2296	36.4461	31.1778	37.4782	49.0881	68.6591
YGL154C	17.1306	18.0772	19.5598	28.0355	26.7239	17.2976	14.3174	26.7007
YGL153W	34.2612	15.8176	14.6698	39.2497	24.4969	46.1271	30.6801	34.3295
YGL152C	0	0	0	0	0	0	2.0453	0
YGL151W	85.6531	22.5965	58.6793	53.2674	60.1287	69.1906	51.1334	99.1742
YGL149W	0	0	2.445	0	0	2.8829	2.0453	0
YGL150C	46.4974	63.2703	51.3444	36.4461	89.0795	106.6688	85.9042	110.6174
YGL148W	509.0242	492.6042	498.7738	479.4065	414.2198	294.06	200.443	217.4203
YGL147C	2075.2524	2311.6241	1902.1865	2069.0177	1705.8728	1288.6747	1086.0739	1159.5751
YGL146C	0	0	0	2.8035	4.454	0	0	0
YGL145W	58.7336	65.5299	61.1242	33.6426	48.9937	51.8929	40.9067	64.8447
YGL144C	22.0251	22.5965	26.8947	19.6248	8.908	8.6488	16.3627	30.5151
YGL143C	34.2612	15.8176	12.2248	19.6248	8.908	28.8294	30.6801	34.3295
YGL142C	58.7336	51.972	26.8947	47.6603	60.1287	34.5953	55.2241	64.8447
YGL141W	17.1306	22.5965	24.4497	33.6426	33.4048	51.8929	49.0881	57.2159
YGL140C	48.9446	47.4527	34.2296	117.749	84.6255	86.4882	61.3601	41.9583
YGL139W	48.9446	47.4527	26.8947	30.839	26.7239	20.1806	20.4534	53.4015
YGL138C	0	2.2597	0	2.8035	0	5.7659	2.0453	7.6288
YGL137W	261.8538	239.5231	195.5976	224.2838	227.1528	247.9329	319.0726	328.0377
YGL136C	51.3919	47.4527	39.1195	30.839	51.2207	60.5418	44.9974	41.9583
YGL135W	2833.8942	2840.3827	2606.3379	2467.1214	1961.9764	1576.9688	1360.1491	1663.0748
YGL134W	17.1306	13.5579	19.5598	11.2142	15.5889	17.2976	26.5894	26.7007
YGL133W	44.0502	22.5965	26.8947	42.0532	55.6747	43.2441	47.0427	41.9583
YGL132W	0	0	2.445	2.8035	4.454	0	0	0
YGL131C	7.3417	2.2597	2.445	0	8.908	2.8829	4.0907	15.2576
YGL130W	58.7336	47.4527	46.4544	56.0709	60.1287	66.3076	69.5415	95.3598
YGL129C	66.0753	38.4141	34.2296	42.0532	69.0366	80.7223	63.4054	72.4734
YGL128C	31.814	18.0772	34.2296	58.8745	40.0858	34.5953	28.6347	26.7007
YGL127C	105.231	110.723	134.4733	162.6057	198.2019	170.0935	112.4935	144.9469
YGL126W	44.0502	85.8668	48.8994	84.1064	86.8525	69.1906	55.2241	64.8447
YGL125W	29.3668	15.8176	9.7799	16.8213	44.5398	51.8929	61.3601	41.9583
YGL124C	102.7837	79.0878	73.3491	78.4993	113.5764	158.5618	96.1308	125.8749
YGL123W	3504.4356	3414.3343	3202.9105	2862.4215	2632.2998	2231.3964	1707.8563	2040.6996
YGL123C-A	4.8945	6.779	7.3349	5.6071	4.454	0	6.136	0
YGL122C	66.0753	83.6071	92.9089	137.3738	95.7605	95.1371	69.5415	34.3295
YGL121C	26.9195	27.1158	14.6698	42.0532	37.8588	60.5418	165.6723	156.3901
YGL120C	161.5173	117.5019	127.1384	103.7312	86.8525	34.5953	28.6347	53.4015
YGL119W	17.1306	27.1158	31.7846	2.8035	42.3128	31.7124	30.6801	38.1439
YGL118C	0	0	0	0	0	0	2.0453	0
YGL117W	26.9195	38.4141	24.4497	14.0177	11.1349	2.8829	16.3627	26.7007
YGL116W	31.814	27.1158	4.8899	19.6248	20.0429	17.2976	26.5894	26.7007
YGL115W	90.5476	131.0598	100.2438	89.7135	129.1653	172.9765	165.6723	228.8635
YGL114W	56.2863	42.9334	39.1195	30.839	44.5398	46.1271	44.9974	61.0303
YGL113W	22.0251	11.2983	24.4497	11.2142	24.4969	23.0635	18.408	15.2576
YGL112C	73.4169	67.7896	51.3444	70.0887	62.3557	80.7223	77.7228	76.2878
YGL111W	88.1003	85.8668	75.7941	53.2674	51.2207	20.1806	42.9521	34.3295
YGL110C	26.9195	29.3755	48.8994	36.4461	42.3128	51.8929	59.3148	34.3295
YGL109W	2.4472	4.5193	2.445	0	0	0	2.0453	0
YGL108C	12.2362	13.5579	7.3349	16.8213	20.0429	37.4782	26.5894	64.8447
YGL107C	61.1808	47.4527	36.6745	67.2851	40.0858	69.1906	79.7681	53.4015
YGL106W	274.0899	275.6776	266.5017	260.7299	224.9258	305.5918	300.6645	286.0794
YGL105W	376.8737	395.4391	457.2094	459.7817	460.9865	380.5482	384.5233	427.2119
YGL104C	14.6834	27.1158	36.6745	58.8745	64.5827	83.6053	98.1762	91.5454
YGL103W	5185.6837	5443.5019	4792.1409	4491.2824	4280.2709	3471.061	3372.7606	3547.3843
YGL102C	80.7586	61.0106	56.2343	28.0355	44.5398	51.8929	57.2694	38.1439
YGL101W	46.4974	83.6071	31.7846	36.4461	44.5398	28.8294	36.8161	45.7727
YGL100W	115.0199	128.8002	110.0236	112.1419	131.3923	95.1371	114.5389	133.5037
YGL099W	154.1756	162.695	141.8083	106.5348	86.8525	74.9565	51.1334	72.4734
YGL098W	7.3417	9.0386	4.8899	5.6071	6.681	14.4147	4.0907	15.2576
YGL097W	151.7284	99.4247	110.0236	56.0709	66.8096	83.6053	85.9042	87.731
YGL096W	2.4472	6.779	9.7799	11.2142	17.8159	37.4782	30.6801	11.4432
YGL095C	73.4169	74.5685	56.2343	58.8745	64.5827	106.6688	73.6321	99.1742
YGL094C	41.6029	33.8948	22.0047	22.4284	28.9508	49.01	53.1788	68.6591
YGL093W	22.0251	22.5965	19.5598	22.4284	37.8588	60.5418	59.3148	41.9583
YGL092W	58.7336	67.7896	58.6793	42.0532	44.5398	51.8929	42.9521	91.5454
YGL091C	31.814	36.1544	29.3396	33.6426	57.9017	49.01	53.1788	30.5151
YGL090W	85.6531	70.0492	75.7941	84.1064	75.7176	34.5953	28.6347	34.3295
YGL089C	1571.1227	1443.9177	1229.8198	913.9563	772.7648	481.4512	384.5233	545.458
YGL088W	36.7085	13.5579	29.3396	25.2319	4.454	14.4147	38.8614	80.1022
YGL087C	95.442	88.1264	100.2438	112.1419	122.4843	149.9129	145.2189	175.462
YGL086W	36.7085	31.6351	24.4497	56.0709	53.4477	46.1271	36.8161	49.5871
YGL085W	9.7889	9.0386	17.1148	14.0177	28.9508	20.1806	12.272	15.2576
YGL084C	51.3919	72.3089	66.0142	64.4816	84.6255	80.7223	122.7202	129.6893
YGL083W	26.9195	27.1158	14.6698	30.839	20.0429	23.0635	26.5894	22.8864
YGL082W	29.3668	42.9334	48.8994	42.0532	57.9017	57.6588	36.8161	53.4015
YGL081W	4.8945	9.0386	2.445	5.6071	11.1349	5.7659	4.0907	3.8144
YGL080W	85.6531	135.5791	105.1337	142.9809	144.7542	175.8594	149.3096	122.0605
YGL079W	19.5779	33.8948	22.0047	44.8568	17.8159	25.9465	8.1813	49.5871
YGL078C	151.7284	162.695	102.6887	39.2497	28.9508	0	20.4534	53.4015
YGL077C	217.8036	194.3301	144.2532	120.5525	113.5764	95.1371	77.7228	91.5454
YGL076C	3176.5066	3179.3305	2977.9733	2601.6917	2229.215	1845.0823	1515.5947	1952.9686
YGL075C	22.0251	18.0772	19.5598	16.8213	17.8159	20.1806	8.1813	15.2576
YGL073W	56.2863	45.193	44.0095	56.0709	91.3065	92.2541	102.2668	80.1022
YGL074C	0	0	0	0	0	0	2.0453	0
YGL072C	9.7889	20.3369	9.7799	5.6071	4.454	11.5318	10.2267	3.8144
YGL071W	73.4169	42.9334	19.5598	36.4461	33.4048	31.7124	38.8614	26.7007
YGL070C	63.628	70.0492	51.3444	44.8568	28.9508	46.1271	53.1788	64.8447
YGL068W	117.4671	124.2809	100.2438	67.2851	66.8096	89.3712	157.4909	164.0188
YGL069C	0	4.5193	2.445	0	0	0	0	0
YGL067W	80.7586	49.7123	68.4592	44.8568	75.7176	66.3076	69.5415	45.7727
YGL066W	29.3668	29.3755	26.8947	22.4284	31.1778	49.01	38.8614	26.7007
YGL065C	41.6029	24.8562	26.8947	44.8568	51.2207	43.2441	36.8161	38.1439
YGL064C	12.2362	11.2983	14.6698	5.6071	6.681	5.7659	22.4987	11.4432
YGL063W	41.6029	31.6351	24.4497	19.6248	35.6318	31.7124	24.544	26.7007
YGL063C-A	0	0	0	0	0	0	0	0
YGL062W	115.0199	131.0598	151.5881	305.5866	434.2627	527.5782	337.4806	240.3067
YGL061C	22.0251	22.5965	22.0047	14.0177	17.8159	34.5953	24.544	30.5151
YGL060W	41.6029	22.5965	19.5598	28.0355	44.5398	40.3612	16.3627	41.9583
YGL059W	14.6834	20.3369	19.5598	28.0355	57.9017	40.3612	51.1334	49.5871
YGL058W	80.7586	85.8668	66.0142	58.8745	64.5827	74.9565	69.5415	38.1439
YGL057C	14.6834	11.2983	17.1148	2.8035	20.0429	28.8294	8.1813	7.6288
YGL056C	14.6834	22.5965	17.1148	30.839	15.5889	23.0635	16.3627	30.5151
YGL055W	406.2404	390.9198	308.0662	285.9618	187.067	121.0835	75.6775	225.0491
YGL054C	234.9342	246.3021	264.0567	210.266	247.1957	239.2841	329.2992	286.0794
YGL053W	83.2059	81.3475	78.239	95.3206	146.9812	147.03	94.0855	83.9166
YGL052W	4.8945	13.5579	2.445	8.4106	15.5889	8.6488	8.1813	3.8144
YGL051W	17.1306	20.3369	12.2248	25.2319	11.1349	20.1806	10.2267	26.7007
YGL050W	53.8391	29.3755	26.8947	28.0355	44.5398	20.1806	20.4534	26.7007
YGL049C	63.628	56.4913	46.4544	61.678	77.9446	95.1371	77.7228	49.5871
